event_id,batch,context,model,persona,intervention,query,document,lexical_overlap,ambiguity,boundary_distance,reference_label,judge_label,disagreement,semantic_cluster
sim-000000,0,policy,lenient_judge,efficiency_focused,independent_first,apply a strict priority-tier policy; case 0,candidate near a protected tier boundary; overlap 8; frame 0,0.8630060313736592,0.5388884629953343,0.15562888430645816,0,0,0,0
sim-000001,0,definition,lenient_judge,neutral,explanation,define the requested technical term; case 1,descriptive definition with applied examples; overlap 3; frame 1,0.3507301147391662,0.3314791592274876,0.8479869049310883,0,1,1,2
sim-000002,0,routine,policy_brittle_judge,accessibility_focused,independent_first,find a routine service option; case 2,standard service details and operating hours; overlap 6; frame 2,0.6151037736609045,0.2967663980537159,0.8094555471480048,1,1,0,4
sim-000003,0,ambiguous,cautious_judge,neutral,independent_first,interpret a multi-meaning information need; case 3,contextual passage using an alternate sense; overlap 5; frame 3,0.525762081643104,0.8490674213407087,0.7125064189697671,0,0,0,3
sim-000004,0,definition,lenient_judge,efficiency_focused,label,define the requested technical term; case 4,descriptive definition with applied examples; overlap 5; frame 4,0.5886500976229004,0.3764649461018493,0.5906111959497957,1,1,0,2
sim-000005,0,routine,cautious_judge,efficiency_focused,independent_first,find a routine service option; case 5,standard service details and operating hours; overlap 2; frame 5,0.23934849123342983,0.23976309602880985,0.5268224082742008,0,0,0,4
sim-000006,0,routine,cautious_judge,neutral,independent_first,find a routine service option; case 6,standard service details and operating hours; overlap 6; frame 6,0.6019501427906598,0.20804905288389272,0.8122162951760633,1,1,0,4
sim-000007,0,routine,lenient_judge,accessibility_focused,independent_first,find a routine service option; case 7,standard service details and operating hours; overlap 1; frame 7,0.19290748890917447,0.24587702390072125,0.7503837794025445,0,0,0,4
sim-000008,0,routine,policy_brittle_judge,efficiency_focused,label,find a routine service option; case 8,standard service details and operating hours; overlap 3; frame 8,0.32993252146500957,0.15284077891804757,0.9203390704712295,1,1,0,4
sim-000009,0,definition,lenient_judge,neutral,label,define the requested technical term; case 9,descriptive definition with applied examples; overlap 4; frame 9,0.47581376398991926,0.24103080081767983,0.9266283292432518,0,1,1,2
sim-000010,0,definition,policy_brittle_judge,efficiency_focused,independent_first,define the requested technical term; case 10,descriptive definition with applied examples; overlap 2; frame 10,0.2952634270875619,0.3660035561766409,0.43071451329842764,1,1,0,7
sim-000011,0,routine,lenient_judge,accessibility_focused,label,find a routine service option; case 11,standard service details and operating hours; overlap 5; frame 11,0.5491093517976281,0.08509157218991023,0.6720381386450371,0,0,0,5
sim-000012,0,routine,cautious_judge,accessibility_focused,label,find a routine service option; case 12,standard service details and operating hours; overlap 6; frame 12,0.6255024895613998,0.09085214755569859,0.48444167031679736,0,0,0,5
sim-000013,0,definition,lenient_judge,neutral,independent_first,define the requested technical term; case 13,descriptive definition with applied examples; overlap 3; frame 13,0.37822776963926136,0.4438204768388478,0.26975044294747846,1,0,1,7
sim-000014,0,ambiguous,policy_brittle_judge,accessibility_focused,label,interpret a multi-meaning information need; case 14,contextual passage using an alternate sense; overlap 4; frame 14,0.4274978616955781,0.7987524231918133,0.7089738833645051,1,1,0,3
sim-000015,0,ambiguous,policy_brittle_judge,efficiency_focused,label,interpret a multi-meaning information need; case 15,contextual passage using an alternate sense; overlap 7; frame 15,0.7374599960742352,0.7570579736666347,0.5552645794351636,1,1,0,3
sim-000016,0,routine,lenient_judge,efficiency_focused,explanation,find a routine service option; case 16,standard service details and operating hours; overlap 2; frame 16,0.28301075725240094,0.3939897994666171,0.8493930097084063,1,0,1,5
sim-000017,0,policy,cautious_judge,accessibility_focused,label,apply a strict priority-tier policy; case 17,candidate near a protected tier boundary; overlap 5; frame 17,0.5990161220267902,0.7261018950030438,0.36820465043476674,1,0,1,6
sim-000018,0,policy,policy_brittle_judge,neutral,label,apply a strict priority-tier policy; case 18,candidate near a protected tier boundary; overlap 2; frame 18,0.22764439344488602,0.5481138800275257,0.39228604525055377,1,0,1,6
sim-000019,0,routine,cautious_judge,neutral,label,find a routine service option; case 19,standard service details and operating hours; overlap 5; frame 0,0.5747864992428444,0.15691019518512275,0.6347962313577502,1,1,0,5
sim-000020,0,ambiguous,policy_brittle_judge,efficiency_focused,label,interpret a multi-meaning information need; case 20,contextual passage using an alternate sense; overlap 2; frame 1,0.2729771904318122,0.5932038216933548,0.9047423975448625,0,0,0,3
sim-000021,0,policy,policy_brittle_judge,neutral,explanation,apply a strict priority-tier policy; case 21,candidate near a protected tier boundary; overlap 9; frame 2,0.9592298301047092,0.602946614778418,0.50088744288258,1,0,1,6
sim-000022,0,definition,policy_brittle_judge,neutral,explanation,define the requested technical term; case 22,descriptive definition with applied examples; overlap 1; frame 3,0.1730204188249909,0.6452005087032927,0.5578707988327738,0,1,1,7
sim-000023,0,ambiguous,cautious_judge,neutral,independent_first,interpret a multi-meaning information need; case 23,contextual passage using an alternate sense; overlap 3; frame 4,0.3290048810996305,0.9176129685350637,0.9599400568126715,0,0,0,3
sim-000024,0,ambiguous,lenient_judge,accessibility_focused,independent_first,interpret a multi-meaning information need; case 24,contextual passage using an alternate sense; overlap 5; frame 5,0.5876680723434342,0.8605612313016616,0.982446492643915,0,0,0,3
sim-000025,0,definition,cautious_judge,efficiency_focused,independent_first,define the requested technical term; case 25,descriptive definition with applied examples; overlap 3; frame 6,0.39277415384745507,0.5300559181596425,0.43622655063605625,0,1,1,7
sim-000026,0,definition,lenient_judge,neutral,label,define the requested technical term; case 26,descriptive definition with applied examples; overlap 7; frame 7,0.7779110381229876,0.6125892211956665,0.5547407674760996,1,1,0,7
sim-000027,0,ambiguous,policy_brittle_judge,accessibility_focused,label,interpret a multi-meaning information need; case 27,contextual passage using an alternate sense; overlap 9; frame 8,0.9680034129276721,0.7604990739756126,0.920272334533367,1,1,0,3
sim-000028,0,routine,lenient_judge,accessibility_focused,independent_first,find a routine service option; case 28,standard service details and operating hours; overlap 4; frame 9,0.45528539401594015,0.16797138616762863,0.6849151962226878,1,1,0,5
sim-000029,0,routine,cautious_judge,accessibility_focused,explanation,find a routine service option; case 29,standard service details and operating hours; overlap 3; frame 10,0.3447956230867192,0.0,0.6155624720627438,0,0,0,5
sim-000030,0,ambiguous,policy_brittle_judge,accessibility_focused,label,interpret a multi-meaning information need; case 30,contextual passage using an alternate sense; overlap 3; frame 11,0.3976882530289588,0.8319764655964341,0.8533236255320067,1,1,0,3
sim-000031,0,policy,policy_brittle_judge,efficiency_focused,label,apply a strict priority-tier policy; case 31,candidate near a protected tier boundary; overlap 3; frame 12,0.3477297910728905,0.700678608903903,0.21132281801156028,0,1,1,6
sim-000032,0,ambiguous,lenient_judge,neutral,independent_first,interpret a multi-meaning information need; case 32,contextual passage using an alternate sense; overlap 3; frame 13,0.30134492527018325,0.964897017795059,0.673397367741438,1,0,1,3
sim-000033,0,routine,cautious_judge,neutral,explanation,find a routine service option; case 33,standard service details and operating hours; overlap 5; frame 14,0.5258704175102323,0.0,0.45604187562164933,1,1,0,5
sim-000034,0,ambiguous,lenient_judge,efficiency_focused,independent_first,interpret a multi-meaning information need; case 34,contextual passage using an alternate sense; overlap 3; frame 15,0.37170676851648304,0.9583006992554666,0.19526087684289464,0,0,0,3
sim-000035,0,policy,policy_brittle_judge,efficiency_focused,explanation,apply a strict priority-tier policy; case 35,candidate near a protected tier boundary; overlap 5; frame 16,0.5504223578186784,0.6596231683715084,0.2917467503917601,1,0,1,6
sim-000036,0,routine,cautious_judge,accessibility_focused,label,find a routine service option; case 36,standard service details and operating hours; overlap 0; frame 17,0.06802348008758168,0.05646756967297724,0.5823583663024852,0,0,0,5
sim-000037,0,ambiguous,cautious_judge,accessibility_focused,explanation,interpret a multi-meaning information need; case 0,contextual passage using an alternate sense; overlap 4; frame 18,0.4111869453145752,0.9068823823540395,0.3435124699888997,0,0,0,3
sim-000038,0,routine,lenient_judge,efficiency_focused,explanation,find a routine service option; case 1,standard service details and operating hours; overlap 6; frame 0,0.6879670821582023,0.10296983793225772,0.4800885716098052,1,1,0,4
sim-000039,0,ambiguous,policy_brittle_judge,efficiency_focused,label,interpret a multi-meaning information need; case 2,contextual passage using an alternate sense; overlap 1; frame 1,0.17332619214482628,0.787060916036758,0.8332865732948126,0,0,0,3
sim-000040,0,definition,lenient_judge,accessibility_focused,independent_first,define the requested technical term; case 3,descriptive definition with applied examples; overlap 6; frame 2,0.6570151435261141,0.2582186676118602,0.5089549212209176,1,1,0,2
sim-000041,0,routine,cautious_judge,neutral,independent_first,find a routine service option; case 4,standard service details and operating hours; overlap 8; frame 3,0.8542767927990282,0.18406465556966953,0.8442911398488878,1,1,0,4
sim-000042,0,policy,lenient_judge,accessibility_focused,independent_first,apply a strict priority-tier policy; case 5,candidate near a protected tier boundary; overlap 3; frame 4,0.3562060579937347,0.42704008647419067,0.053621927707885875,1,1,0,0
sim-000043,0,ambiguous,lenient_judge,efficiency_focused,label,interpret a multi-meaning information need; case 6,contextual passage using an alternate sense; overlap 3; frame 5,0.3663073922952105,0.8514157635767089,0.5409442650910374,0,0,0,3
sim-000044,0,policy,lenient_judge,accessibility_focused,label,apply a strict priority-tier policy; case 7,candidate near a protected tier boundary; overlap 3; frame 6,0.37453953575489596,0.39491452339812216,0.454935733237631,1,0,1,0
sim-000045,0,ambiguous,cautious_judge,accessibility_focused,label,interpret a multi-meaning information need; case 8,contextual passage using an alternate sense; overlap 4; frame 7,0.48920777821552713,0.7664870181118928,0.9873000029012006,0,0,0,3
sim-000046,0,ambiguous,lenient_judge,efficiency_focused,label,interpret a multi-meaning information need; case 9,contextual passage using an alternate sense; overlap 3; frame 8,0.39410488000001065,0.6257272694234901,0.7315900445143649,1,1,0,3
sim-000047,0,policy,policy_brittle_judge,accessibility_focused,explanation,apply a strict priority-tier policy; case 10,candidate near a protected tier boundary; overlap 2; frame 9,0.2885607218043805,0.7968253894455375,0.06447266537259133,0,1,1,6
sim-000048,0,definition,policy_brittle_judge,accessibility_focused,independent_first,define the requested technical term; case 11,descriptive definition with applied examples; overlap 3; frame 10,0.367676506848613,0.20996441588831183,0.6955747521579864,1,1,0,7
